Brand,Model,Year,Transmission,Mileage,Fuel Type,Tax,MPG,Engine Size,Price
VW,Arteon,2019,Automatic,6000,Diesel,145,50.4,2,28990
VW,Amarok,2018,Automatic,13764,Diesel,260,36.2,3,27900
Ford,Galaxy,2016,Automatic,35646,Diesel,160,51.4,2,17750
Ford,KA,2013,Manual,17427,Petrol,30,57.7,1.2,5300
Skoda,Yeti,2017,Manual,19956,Diesel,145,62.8,2,13750
Ford,Galaxy,2016,Manual,27315,Diesel,125,56.5,2,18000
Toyota,Prius,2017,Automatic,9891,Hybrid,0,85.6,1.8,20000
VW,Beetle,2016,Manual,21930,Petrol,125,51.4,1.2,10941
Mercedes,CLA Class,2020,Automatic,3600,Petrol,145,33.2,2,54900
Ford,Tourneo Custom,2019,Manual,1410,Diesel,145,30.1,2,26922
Toyota,Prius,2018,Automatic,59191,Other,135,235,1.8,18150
Ford,Galaxy,2016,Manual,23300,Diesel,125,56.5,2,17990
VW,Caravelle,2011,Automatic,86000,Diesel,325,34.4,2,19995
Mercedes,GLS Class,2019,Automatic,11607,Diesel,145,37.2,3,44990
Ford,Grand Tourneo Connect,2017,Manual,4856,Diesel,145,61.4,1.5,13998
Toyota,Prius,2018,Automatic,10549,Hybrid,135,94.1,1.8,20950
Hyundai,Santa Fe,2017,Semi-Auto,12957,Diesel,240,42.8,2.2,19498
BMW,i3,2017,Automatic,17338,Hybrid,135,470.8,0,19495
BMW,X4,2019,Semi-Auto,6449,Diesel,145,37.2,3,41999
Mercedes,V Class,2017,Semi-Auto,41298,Diesel,205,45.6,2.2,29998
BMW,X4,2019,Automatic,2188,Petrol,145,26.9,3,42460
Toyota,Prius,2019,Automatic,3982,Hybrid,135,61.4,1.8,22990
Toyota,Prius,2016,Automatic,48297,Hybrid,0,85.6,1.8,17650
Vauxhall,GTC,2015,Manual,32160,Petrol,160,44.8,1.6,8790
Audi,RS3,2017,Automatic,38000,Petrol,150,34,2.5,31888
VW,Tiguan Allspace,2019,Automatic,7971,Diesel,145,39.2,2,26995
Mercedes,V Class,2019,Manual,5000,Diesel,145,46.3,2.1,24990
Audi,Q8,2020,Automatic,3522,Diesel,145,30.7,4,84496
VW,Beetle,2017,Manual,30456,Diesel,150,67.3,2,13981
BMW,6 Series,2017,Automatic,23954,Petrol,260,36.7,3,23400
Ford,Tourneo Custom,2017,Manual,23838,Diesel,150,44.8,2,19490
Ford,Galaxy,2016,Manual,87180,Diesel,125,56.5,2,14500
BMW,X4,2017,Semi-Auto,18441,Diesel,145,54.3,2,23000
Skoda,Kamiq,2019,Manual,458,Petrol,150,49.6,1,16991
Hyundai,Santa Fe,2019,Semi-Auto,5883,Diesel,145,39.2,2.2,33791
BMW,X4,2019,Semi-Auto,1852,Diesel,145,40.4,3,37980
VW,Amarok,2017,Automatic,25624,Diesel,260,36.2,3,25995
Ford,Edge,2018,Semi-Auto,12815,Diesel,150,48.7,2,22795
Vauxhall,Zafira Tourer,2017,Manual,21000,Diesel,145,62.8,1.6,12295
VW,Caddy Life,2020,Manual,1700,Diesel,150,51.4,2,22000
Audi,RS3,2020,Automatic,10,Petrol,145,30.1,2.5,42490
BMW,X4,2019,Semi-Auto,7414,Diesel,145,42.8,2,35480
Ford,KA,2013,Manual,22995,Petrol,30,57.7,1.2,4391
Ford,Grand C-MAX,2016,Manual,34883,Diesel,30,61.4,2,11998
VW,Scirocco,2018,Manual,30532,Diesel,145,53.3,2,16495
Ford,Mustang,2019,Automatic,1055,Petrol,145,22.1,5,37991
BMW,7 Series,2020,Semi-Auto,3500,Diesel,145,42.2,3,53995
Toyota,Prius,2010,Automatic,67000,Hybrid,0,70.6,1.8,6995
Audi,A7,2019,Automatic,15302,Diesel,145,47.1,2,31720
Ford,Galaxy,2016,Manual,33883,Diesel,125,56.5,2,14999
Toyota,Prius,2018,Automatic,44512,Hybrid,135,94.1,1.8,17995
VW,Scirocco,2016,Manual,32526,Petrol,125,52.3,1.4,14382
VW,Shuttle,2019,Semi-Auto,10000,Diesel,150,32.8,2,34950
VW,CC,2016,Automatic,54355,Diesel,125,58.9,2,10712
BMW,Z4,2019,Semi-Auto,7363,Petrol,145,38.2,2,27450
Mercedes,CLS Class,2013,Semi-Auto,64777,Diesel,205,47.1,3,14972
Mercedes,CLS Class,2019,Semi-Auto,7301,Diesel,145,47.9,2.9,42900
Ford,KA,2013,Manual,33761,Petrol,30,57.7,1.2,4500
Audi,SQ5,2017,Automatic,27000,Petrol,150,34,3,36950
Hyundai,IX20,2018,Manual,3250,Petrol,145,37.2,1.6,12995
Skoda,Scala,2019,Manual,3501,Petrol,145,49.6,1,15490
Audi,RS5,2019,Semi-Auto,2469,Petrol,150,29.7,2.9,56400
BMW,X4,2019,Semi-Auto,8515,Diesel,145,42.8,2,34000
BMW,6 Series,2020,Semi-Auto,11,Petrol,145,42.8,2,33999
Skoda,Rapid,2013,Manual,29750,Petrol,125,52.3,1.2,5495
Toyota,Prius,2013,Automatic,52217,Hybrid,0,134.5,1.8,13522
Ford,Edge,2017,Semi-Auto,25725,Diesel,145,47.9,2,22511
Skoda,Yeti,2017,Manual,13591,Petrol,145,51.4,1.2,15495
Ford,Edge,2017,Automatic,19039,Diesel,160,48.7,2,20000
Mercedes,SLK,2006,Automatic,75000,Petrol,555,28,3.5,4995
Skoda,Yeti,2014,Manual,43429,Diesel,30,61.4,1.6,9000
Mercedes,GLS Class,2018,Semi-Auto,41102,Petrol,145,23,5.5,64999
Hyundai,Santa Fe,2020,Semi-Auto,1801,Diesel,145,39.8,2.2,35995
Ford,KA,2016,Manual,30225,Petrol,30,57.7,1.2,5666
Skoda,Scala,2019,Semi-Auto,5000,Petrol,145,47.1,1,16250
Toyota,GT86,2014,Manual,39761,Petrol,265,36.2,2,13000
Skoda,Yeti,2015,Manual,32800,Diesel,165,49.6,2,10480
BMW,6 Series,2019,Semi-Auto,7994,Petrol,145,42.8,2,31999
VW,Amarok,2019,Automatic,16898,Diesel,260,33.6,3,27990
Skoda,Kamiq,2019,Semi-Auto,1500,Petrol,145,43.5,1.5,22500
Ford,Grand Tourneo Connect,2015,Manual,30760,Diesel,115,58.9,1.6,10995
Mercedes,X-CLASS,2017,Automatic,11447,Diesel,260,35.8,2.3,31000
Skoda,Kamiq,2020,Manual,1500,Petrol,145,49.6,1,18490
Ford,Grand C-MAX,2017,Manual,8121,Petrol,145,54.3,1,12490
Hyundai,I800,2018,Automatic,34605,Diesel,145,28,2.5,15990
Hyundai,Santa Fe,2019,Semi-Auto,30,Diesel,145,40.9,2.2,32995
Skoda,Rapid,2017,Manual,23002,Petrol,145,57.7,1.2,8990
Mercedes,G Class,2017,Automatic,38247,Petrol,145,20.5,5.5,71995
Hyundai,IX20,2017,Manual,21354,Petrol,145,50.4,1.4,9490
Skoda,Scala,2019,Automatic,3500,Petrol,145,45.6,1.5,17995
Ford,Galaxy,2017,Semi-Auto,40838,Diesel,145,52.3,2,18000
Ford,Edge,2019,Automatic,4694,Diesel,145,37.2,2,33000
Hyundai,I800,2019,Manual,7691,Diesel,150,31.7,0,18500
VW,Caravelle,2019,Automatic,11163,Diesel,145,33.6,2,44500
Skoda,Rapid,2018,Manual,12231,Petrol,145,62.8,1,7995
Toyota,GT86,2014,Manual,25499,Petrol,260,36.2,2,12998
Ford,KA,2009,Manual,6000,Petrol,30,55.4,1.2,4990
VW,Caravelle,2020,Semi-Auto,2000,Diesel,150,33.6,2,43495
Mercedes,GLB Class,2020,Semi-Auto,19,Diesel,145,46.3,2,36980
Hyundai,IX35,2014,Manual,53544,Diesel,165,51.4,2,9475
Toyota,Supra,2019,Automatic,10,Petrol,145,34.5,3,49499
Skoda,Yeti,2014,Manual,13593,Petrol,165,46.3,1.2,11000
BMW,X4,2020,Semi-Auto,7724,Diesel,145,37.2,3,45990
Mercedes,GL Class,2017,Automatic,56316,Diesel,125,56.5,2.1,20500
Mercedes,S Class,2017,Semi-Auto,26699,Diesel,145,50.4,3,30580
VW,Scirocco,2018,Manual,27885,Petrol,145,47.1,2,16725
Skoda,Rapid,2015,Manual,18926,Diesel,30,64.2,1.6,6998
Mercedes,CLS Class,2016,Automatic,17730,Diesel,165,51.4,3,21591
Hyundai,IX20,2014,Manual,42000,Petrol,125,50.4,1.4,5945
Hyundai,I40,2015,Manual,68969,Diesel,20,67.3,1.7,7050
VW,Scirocco,2014,Manual,30000,Petrol,125,52.3,1.4,10698
Ford,Grand C-MAX,2016,Manual,30691,Petrol,30,54.3,1,9660
Ford,KA,2015,Manual,15296,Petrol,30,57.7,1.2,4998
Skoda,Yeti,2016,Semi-Auto,5002,Petrol,125,51.4,1.2,12370
Toyota,Avensis,2018,Manual,34505,Diesel,145,67.3,1.6,13500
VW,Caravelle,2019,Semi-Auto,6000,Diesel,145,29.4,2,48995
Toyota,GT86,2017,Manual,6445,Petrol,145,36.2,2,20995
BMW,M5,2019,Semi-Auto,4419,Petrol,145,26.9,4.4,61797
Mercedes,GL Class,2015,Automatic,31112,Diesel,330,36.2,3,31723
VW,CC,2016,Manual,18141,Diesel,30,62.8,2,13300
Skoda,Rapid,2017,Manual,18325,Petrol,145,61.4,1,9625
Skoda,Rapid,2018,Manual,15006,Petrol,145,57.7,1,10495
BMW,8 Series,2019,Automatic,1616,Diesel,145,39.8,3,63806
Ford,KA,2016,Manual,13728,Petrol,30,57.7,1.2,6190
VW,Scirocco,2016,Manual,30989,Petrol,145,46.3,2,14750
Mercedes,CLA Class,2016,Manual,60872,Diesel,20,67.3,2.1,14750
Ford,Puma,2020,Manual,2000,Petrol,150,51.4,1,20999
Hyundai,IX35,2014,Manual,71289,Diesel,145,53.3,1.7,7298
